N° UNICO CONSECUTIVO DE IDENTIFICACION,ESTADO DEL ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,RAZON SOCIAL,NIT,REPRESENTANTE LEGAL,DIRECCION O UBICACION DEL ESTABLECIMIENTO,CONCEPTO SANITARIO VIGENTE,"LINEA SUBCATEGGORIA DE ALIMENTOS
(Productos elaborados o Procesados)"
5903,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,COMPAÑIA INTERNACIONAL AGROFRUT SAS - CI AGROFRUT SAS,8001571306,GUILLERMO GUTIERREZ RESTREPO,CR 54 No 75 AB SUR - 220,FAVORABLE,FRUTAS FRESCAS CONGELADAS;PULPAS O PURES DE FRUTAS;JUGOS O ZUMOS DE FRUTA;NECTARES Y REFRESCOS DE FRUTA;HORTALIZAS Y OTROS VEGETALES FRESCOS CONGELADOS.
5904,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,CONSERVAS ABAD SAS,8110447467,ALBA PATRICIA CASTRILLON AGUDELO,CR 50 No 98 A SUR 470,FAVORABLE,SALSAS EMULSIONADAS;SALSAS NO EMULSIONADAS
5906,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,EMPAQUES Y SERVICIOS SUPERIORES SAS - SUPERPACK SAS,8110164789,HORACIO URIBE ARBELAEZ,CR 50 No 79 SUR - 101 BD 10 BODEGAS STOCK SUR,FAVORABLE,"AZUCAR, NUECES Y MEZCLA DE NUECES"
5908,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,GUSTAR SAS,8001862956,JORGE ENRIQUE CANO HOYOS,CL 100 SUR No 49 - 95 LC 20,FAVORABLE,DULCE DE GUAYABA (BOCADILLO VARIEDADES);CARAMELOS BLANDOS (DULCES PASOTOSOS SABORIZADOS)
5909,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,HRA UNIQUIMICA SAS,8909104687,ANA MARIA SANCHEZ MORENO,CL 80 SUR No 54 - 79,FAVORABLE CON OBSERVACIONES,"PROPIONATO DE CALCIO Y DE SODIO, FOSFATOS DE CALCIO (MONOCÁLCICO, ANHIDRIDO, MONOCÁLCICO MONOHIDRATADO, FOSFATO BICALCICO ANHIDRIDO Y FOSFATO BICALCICO BIHIDRATADO, FOSFATO TRICÁLCICO). FOSFATOS DE SODIO (FOSFATO MONOSÓDICO ANHIDRIDO, FOSFATO BISODICO ANHIDRIDO Y FOSFATO TRISÓDICODODECAHIDRATADO Y PIROFOSFATO ACIDO DE SODIO). FOSFATOS DE POTASIO (FOSFATO MONOPOTASICO Y BIPOTASICO). SULFATO DE ZINC MONOHIDRATADO, HIDRÓXIDO DE CALCIO, FOSFATO DE CALCIO UNIQPHOS, LACTOPHOS, POLVO PARA HORNEAR, UNIQUEL FE BISGLISINATO DE HIERRO, UNIQUEL ZN BISGLISINATO DE ZINC; CARBONATO DE CALCIO."
5911,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,INGTEC ESPECIALIDADES SAS,9007273405,CESAR AUGUSTO OSPINA MARTINEZ,CL 78 A SUR No 52 A - 70,FAVORABLE,MEZCLAS EN POLVO PARA REPOSTERIA Y HELADERIA
5912,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,INSALTEC SAS,9004401111,JUAN FELIPE CUERVO PIEDRAHITA,CL 100 SUR No 49 - 95 BD 02,FAVORABLE,MEZCLA ESTABILIZANTE EN POLVO PARA BEBIDAS LACTEAS FERMENTADAS;MEZCLA EN POLVO LACTEA PARA PREPARAR HELADOS;MALTEADAS;SHAKE(BEBIDAS) Y PALETAS SABORES VARIEDADES Y SIN AZUCAR AÑADIDA
5914,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,MANTEL DE CUADROS SAS,8110388310,JUAN CAMILO MONSALVE MARIN,CL 97 B SUR No 50 - 40 BG 14 Y 16,FAVORABLE,"WAFFLES, EMPANADAS"
5915,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,ORGANIC EVOLUTION SAS,9002240268,JORGE IVAN MORALES ARBELAEZ,CR 50 No 96A SUR 280 BD 05 CONJUNTO INDUSTRIAL PINAR DEL RIO SC SIERRA MORENA,FAVORABLE,COLORANTES NATURALES LIQUIDOS Y EN POLVO
5916,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,PETPACK SAS,8110224088,FEDERICO ALVAREZ PAREJA,CR 54 No 75AB SUR - 220,FAVORABLE CON OBSERVACIONES,EMPAQUES PARA ALIMENTOS
5918,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,PRODUCTOS YULI SA,9001246917,CRISTINA MARIA MEJIA RENDON,"CR 50 No 96 A SUR - 280 BD 14, 16 Y 17",FAVORABLE,PAPA FRITA FOSFORITO
5919,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,PROPLAS SA,8909004272,RODRIGO JOSE SANTIAGO URIBE LONDOÑO,CR 50 No 77 SUR -150,FAVORABLE CON OBSERVACIONES,EMPAQUES PARA ALIMENTOS
5921,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,SELECTA COMPAÑIA DE CEREALES SAS,9007504836,LEON DAVID ECHANDIA BUSTAMANTE,CR 48 B No 99 SUR - 59 BD 15 UNIDAD INDUSTRIAL SAN BARTOLOME,FAVORABLE,"CEREALES PARA EL DESAYUNO VARIEDADES;AVENA EN HARINA VARIEDADES;GALLENTAS DULCES;MEZCLA DE SEMILLAS,NUECES,MANÍ;RELLENO PARA TORTILLAS VARIEDADES"
5926,1 ACTIVO,ANTIOQUIA,LA UNION,ALIMENTOS NEBRASKA SAS,8110410742,GLADYS CECILIA JARAMILLO VILLEGAS,VDA QUEBRADA NEGRA KM 3,FAVORABLE,LECHE CONDENSADA;AREQUIPE;DULCE DE LECHE
5927,1 ACTIVO,ANTIOQUIA,LA UNION,HINCAPIE HERRERA JOSE ELIBERTO PROPIETARIO DEL ESTABLECIMIENTO AREPAS LA ANTIOQUEÑA LA UNION,984568721,JOSE ELIBERTO HINCAPIE HERRERA,CR 12 No 10 - 19,FAVORABLE,AREPAS DE MAIZ VARIEDADES AMARILLO Y BLANCO
5931,1 ACTIVO,ANTIOQUIA,LA UNION,CHORIORIENTE SAS,9006926446,MARLY LOPEZ QUINTERO,CR 6 No 10 - 36,FAVORABLE,DERIVADOS CARNICOS FRESCOS SIN TRTATAMIENTO TERMICO
5938,1 ACTIVO,ANTIOQUIA,EL CARMEN DE VIBORAL,INVERSIONES VALLEJUELO SAS,9006559325,LAURA PATIÑO MEJIA,VI LA UNION SONSON VDA SAN JUAN KM 6.5,FAVORABLE,FRUTAS FRESCAS PELADAS Y CORTADAS REFRIGERADAS;HORTALIZAS(VERDURAS;LEGUMBRES;RAICES;TUBERCULOS;BULBOS;RIZOMAS) Y OTROS VEGETALES ENTEROS REFRIGERADOS;HORTALIZAS(VERDURAS;LEGUMBRES;RAICES;TUBERCULOS;BULBOS;RIZOMAS) Y OTROS VEGETALES PELADOS CORTADOS O DESMENUZADOS.
5939,1 ACTIVO,ANTIOQUIA,LA UNION,LACTEOS BUENA VISTA SABORES NATURALES SAS,9001673118,GLORIA ELIZABETH LOPEZ PATIÑO,KM 3 VI LA UNION SONSON,FAVORABLE,BEBIDAS FERMENTADAS;QUESOS FRESCOS;QUESOS MADURADOS YSEMIMADURADOS
5942,1 ACTIVO,ANTIOQUIA,LA UNION,TRUCHAS BELMIRA SAS,8001920495,CRISANTO MONTAGUTH CIFUENTES,VDA CHALARCA KM 6 GRANJA ARCO AZUL,FAVORABLE,"PESCADO, FILETESDE PESCADO, DEDITOS DE TRUCHA, HAMBURGUESA DE TRUCHA, TRUCHA AHUMADA"
5944,1 ACTIVO,ANTIOQUIA,LIBORINA,ASOCIACION DE LECHEROS DE LA MERCED - ASOLEMER,8110418709,CONRADO ZAPATA MAYA,COR LA MERCED DEL PLAYON,FAVORABLE CON OBSERVACIONES,ACOPIO;ENFRIADO Y ALMACENAMIENTO DE LECHE CRUDA
5947,1 ACTIVO,ANTIOQUIA,MARINILLA,ARBELAEZ OTALVARO GERMAN ALBEIRO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO AGROINDUSTRIA NATURAL - AGRONAT,709057917,GERMAN ALBEIRO ARBELAEZ OTALVARO,CR 33 No 23 - 26,FAVORABLE,PANELA GRANULADA CON SABOR VARIEDADES; REEMPAQUE DE SAL
5953,1 ACTIVO,ANTIOQUIA,MARINILLA,GRIFFITH FOODS SAS,8909174657,SAIDA ROCIO MARTINEZ GOMEZ,KM 39 AU MEDELLIN BOGOTA,FAVORABLE,"MEZCLA EN POLVO PARA CONDIMENTAR, APANAR Y SABORIZAR VARIEDADES; ADEREZOS TIPO MAYONESA; CONDIMENTOS (ALIÑOS), CONDIMENTOS EN PASTA, MEZCLAS CONDIMENTADAS, SAZONADORES COMPLETOS, ADEREZOS;POLVO PRAGA Y MEZCLA DE FOSFATOS"
5958,1 ACTIVO,ANTIOQUIA,MEDELLIN,AGUA Y REFRESCOS CRACK SAS,9005093543,MARTHA ALEIDA GRISALES MARTINEZ,CL 41 No 103 - 9 BR SAN JAVIER,FAVORABLE,AGUA POTABLE TRATADA
5962,1 ACTIVO,ANTIOQUIA,MEDELLIN,AHUMADOS TOTO SAS,9001771581,LUIS EDUARDO ALVAREZ QUICENO,CL 53 No 71 - 40,FAVORABLE,"JAMON, CHORIZO Y SALCHICHA"
5966,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALIMENTOS CRIOLLOS SA-ALICRIO SA,8001451035,MARIA NOHORA PEÑA RODRIGUEZ,CL 21 A No 59 - 16,FAVORABLE,EMPANADAS
5968,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALIMENTOS DI MONTY SAS CI,9005313158,KARINA YOHANA CANO ALVAREZ,CR 65 No 74 - 75 BD 180,FAVORABLE,"CARNE DE HAMBURGUESA;CHUZOS DE POLLO;COSTILLAS BBQ;ALITAS BBQ;FILETE DE PECHIGA ADOBADA,LASAÑAS"
5969,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALIMENTOS INDUSTRIALES ARISTEO SAS,9006098432,FRANCISCO JAVIER LOPEZ NAVARRETE,CR 47 No 48 - 65 INT 803; ED RUTOCO,FAVORABLE,EMPANADAS Y AREPAS RELLENAS; PRODUCTOS DE PANADERIA HOJANDRADOS
5971,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALIMENTOS ORO VERDE SAS,9005062770,MARIA CLARA PEREZ VASQUEZ,CL 25A No 43B  - 76 BR COLOMBIA,FAVORABLE,PAPITAS FRITAS VARIEDADES; GUACAMOLE
5974,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALIMENTOS POY EU,8110203589,NIDIA CATALINA JARAMILLO OVIEDO,AV 39 D No 73 - 92 P2,FAVORABLE,EMPANADAS Y PASTELES VARIEDADES
5975,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALIMENTOS SANTAFRUTA SAS,9007331981,LUIS RODRIGO DIEZ MEJIA,CR 51 No 12B SUR - 55,FAVORABLE,PULPAS DE FRUTAS VARIEDADES
5976,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALIMENTOS TOLUIS SAS,9005482881,CARLOS ALBERTO ALVAREZ QUICENO,CL 12 B SUR No 51 B - 20,FAVORABLE,HAMBURGUESA CRUDA CONGELADA
5977,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALIMENTOS VIENNA SAS,9000837290,MARIA ISABEL AREIZA ARREDONDO,CR 43 No 43 - 24,FAVORABLE,HEMBURGUESA DE RES; CHUZOS DE POLLO;PRODUCTOS A BASE DE POLLO VARIEDADES
5978,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALIMENTOS Y PRODUCTOS LA ESTRELLA SAS,9008966062,JORGE EDIXON GOMEZ JARAMILLO,CR 56 No 62 - 214,FAVORABLE,AREPAS DE MAIZ RELLENAS DE QUESO
5979,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALMOJABANAS MUNDIALES Y CIA LTDA,8110004993,LUIS FERNANDO MUÑOZ URIBE,TR 45 D No 82 - 10,FAVORABLE,ALMOJABANAS; PANDEQUESO;DEDITOS DE QUESO
5980,1 ACTIVO,ANTIOQUIA,MEDELLIN,ALVAREZ BUSTAMANTE DIANA MARCELA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO COMERCIALIZADORA NACIONAL DE CEREALES SUPERFIBRA,438286752,DIANA MARCELA ALVAREZ BUSTAMANTE,CL 5 SUR No 80 - 04,FAVORABLE,CEREALES PARA EL DESAYUNO VARIEDADES
5981,1 ACTIVO,ANTIOQUIA,SABANETA,ALVES ALIMENTOS VEGETALES SAS,8001458358,DORAIDE GARCIA CARDONA,CR 48 No 52 SUR - 177 BD 101,FAVORABLE,ALIMENTOS EMBUTIDOS A BASE DE SOYA CON VEGETALES IMITACION SALCHICHA;SALCHICHON;JAMON;CHORIZO Y HAMBURGUESA
5983,1 ACTIVO,ANTIOQUIA,MEDELLIN,AMTEX SA,8909041387,VOKER NESSEL,CR 51 No 13 - 66,FAVORABLE,CARBOXIMETIL CELULOSA
5985,1 ACTIVO,ANTIOQUIA,MEDELLIN,AREPAS CEREALES DE COLOMBIA SAS,9004685882,FREDY ARLEY RODRIGUEZ CARVAJAL,CR 72 No 28 - 37,FAVORABLE,AREPAS DE MAIZ VARIEDADES
5986,1 ACTIVO,ANTIOQUIA,MEDELLIN,ANTIOQUEÑA DE PORCINOS SAS,8110198800,FABIO DE JESUS ECHAVARRIA MUÑOZ,CL 41 SUR No 80 - 34 COR SAN ANTONIO DE PRADO,FAVORABLE,JAMON;HAMBURGUESAS;SALCHICHON;TOCINETA;SALCHICHA;BUTIFARRA;MORCILLA
5987,1 ACTIVO,ANTIOQUIA,MEDELLIN,ANTIOQUEÑA DE QUESOS SAS,9005339353,DIANA MARIA YEPES PABON,VDA LA MONTAÑITA KM 4 VIA HELICONIA; COR SAN ANTONIO DE PRADO,FAVORABLE,ALIMENTOS LACTEO A BASE D E YOGURT ENTERO
5992,1 ACTIVO,ANTIOQUIA,MEDELLIN,ARANGO MESA NELSON ALBERTO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO GALLETAS NEL,153271101,NELSON ALBERTO ARANGO MESA,CR 90 A No 45 - 24,FAVORABLE,GALLETAS VARIEDADES; MERENGUES
6000,1 ACTIVO,ANTIOQUIA,MEDELLIN,AREPUES BUENOS DIAS SAS,8305128409,MARGARITA DEL SOCORRO SOTO ZULUAGA,CL 28 No 72 - 41,FAVORABLE,AREPAS DE MAIZ
6001,1 ACTIVO,ANTIOQUIA,MEDELLIN,ARISTIZABAL ESCOBAR MARIA ELENA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO PANADERIA POCHITO,214037756,MARIA ELENA ARISTIZABAL ESCOBAR,CIRCULAR 4 No 70 - 58,FAVORABLE CON OBSERVACIONES,PAN VARIEDADES
6003,1 ACTIVO,ANTIOQUIA,MEDELLIN,ARTEAGA DURANGO PAOLA SUZANA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO EXQUISITOS INC,431599409,PAOLA SUZANA ARTEAGA DURANGO,CL 34C No 80 A 78,FAVORABLE,PANZEROTIS VARIEDADES;PALITOS CON QUESO Y PALITOS CON QUESO Y BOCADILLO
6005,1 ACTIVO,ANTIOQUIA,MEDELLIN,ASOCIACION DE MUJERES AFROCOLOMBIANAS Y DEMAS ASOCIADOS CABEZA DE FAMILIA PARA EL DESARROLLO SOCIO EMPRESARIAL Y LA VIVIENDA-AMCAF,8110382841,MARIA JESUCITA ASPRILLA MARTINEZ,CR 37 No 48 - 63,FAVORABLE CON OBSERVACIONES,PULPAS DE FRUTAS VARIEDADES Y JUGOS DE FRUTAS VARIEDADES
6009,1 ACTIVO,ANTIOQUIA,MEDELLIN,BELTRAN ARANGO EIDIVER PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO BLACK KING COKTAILS BKC,985333514,EIDIVIER BELTRAN ARANGO,CL 58 No 41 - 06,FAVORABLE CON OBSERVACIONES,ALFAJORES
6013,1 ACTIVO,ANTIOQUIA,MEDELLIN,BIOPEC SAS,8110144195,FELIPE LUCAS ERRAZURIZ COX,CL 52 A No 55 - 49,FAVORABLE,MIEL DE ABEJAS
6014,1 ACTIVO,ANTIOQUIA,MEDELLIN,PRODUCTOS EL CARIBE SA,8002290630,LUIS FELIPE HOYOS VIEIRA,CR 52 No 7 SUR - 73,FAVORABLE,PANES Y CALADOS VARIEDADES
6015,1 ACTIVO,ANTIOQUIA,MEDELLIN,BODEGAS VINZZANA LTDA,8110143964,ANA MARIA GALLEGO TORRES,CR 77 No 23 - 26,FAVORABLE CON OBSERVACIONES,APERITIVOS NO VINICOS Y BEBIDAS EMBRIAGANTES
6016,1 ACTIVO,ANTIOQUIA,MEDELLIN,BODEGAS VINZZANA LTDA,8110143964,ANA MARIA GALLEGO TORRES,CR 77 No 23 - 26,FAVORABLE,BEBIDA EMBRIAGANTE AL 1%;VARIEDADES
6020,1 ACTIVO,ANTIOQUIA,MEDELLIN,CALLE VELASQUEZ AMALIA HELENA DE FATIMA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO HELADOS LOS ALPES,428698560,AMALIA HELENA DE FATIMA CALLE VELASQUEZ,CR 52 No 59 - 57,FAVORABLE,HELADOS DE LECHE CON GRASA VEGETAL VARIEDADES
6022,1 ACTIVO,ANTIOQUIA,MEDELLIN,CARDONA LOPEZ ALBINO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO SALSAS Y ZUMOS NATURALES,83073081,ALBINO CARDONA LOPEZ,CR 54 No 39 - 45,FAVORABLE,NECTARES Y REFRESCOS DE FRUTA; SALSAS Y MEZCLAS PARA HACER SALSAS
6023,1 ACTIVO,ANTIOQUIA,MEDELLIN,LILIANA MARIA RAMIREZ SUAREZ SAS,9007216520,LILIANA MARIA RAMIREZ SUAREZ,CL 64 No 56A - 13,FAVORABLE,CHORIZO;SALCHICHON;JAMON;CARNE DE HAMBUIRGUESA;ALBONDIGON
6024,1 ACTIVO,ANTIOQUIA,MEDELLIN,CARNES CASABLANCA SAS,8001980201,JAVIV BARJUN PALOMINO,CL 72 No 64 -155,FAVORABLE,"DERIVADOS CARNICOS FRESCOS, TRATADOS O NO TERMICAMENTE"
6025,1 ACTIVO,ANTIOQUIA,MEDELLIN,CARNES FRIAS BREMEN SAS,8110420897,DIANA PATRICIA PEREZ SUESCUN,CR 65 No 75A - 22,FAVORABLE,CHORIZO; SALCHICHA; SALCHICHON
6029,1 ACTIVO,ANTIOQUIA,MEDELLIN,CARNICOS EL PALMAR LTDA,8110328725,MICHAEL ALEXIS VILLADA ARIAS,CR 64D No 75 - 32,FAVORABLE,CHORIZO; SALCHICHA; SALCHICHON
6030,1 ACTIVO,ANTIOQUIA,MEDELLIN,CARNICOS EXTRA SA,9000640031,RAFAEL ANGEL CARDONA GOMEZ,CL 29 No 45 - 20,FAVORABLE,"DERIVADOS CARNICOS, JAMON;CHORIZO;SALCHICHA;SALCHICHON;BUTIFARRA;MORTADELA;TOCINETA;CABANO"
6033,1 ACTIVO,ANTIOQUIA,MEDELLIN,CARNICOS LA 65 SAS,9003807380,LUCELLY DEL SOCORRO MONTOYA MEDINA,CR 65 No 72 - 168,FAVORABLE,CHORIZO;SALCHICHA MANGUERA;MORTADELA JAMONADA Y CON VERDURAS;SALCHICHON;
6035,1 ACTIVO,ANTIOQUIA,MEDELLIN,CARNICOS Y ALIMENTOS SAS - DERIVADOS CARNICOS,9001348418,ELIZABETH CARMONA MAYA,CR 62 B No 33 SUR - 93 VDA LA VERDE COR SAN ANTONIO DE PRADO,FAVORABLE,POLLO MARINADO Y POLLO ADOBADO
6040,1 ACTIVO,ANTIOQUIA,MEDELLIN,CERVECERIA LIBRE DE COLOMBIA SAS,9005396958,ANDRES FELIPE OSORIO HENKER,CR 44 No 25 - 31 BR COLOMBIA,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
6045,1 ACTIVO,ANTIOQUIA,MEDELLIN,CJ BAKERY SAS,9002254638,ALBEIRO DE JESUS CRUZ GARCIA,CR 51 No 73 - 64,FAVORABLE,"PAN VARIEDADES , PRODUCTOS DE PANADERIA  DULCE"
6046,1 ACTIVO,ANTIOQUIA,MEDELLIN,COLOMBIANA DE HELADOS SAS,8305057766,SERBIO EIBAR MARTINEZ NARANJO,CR 65 No 74 - 75 BD 131 MULTICENTRO CARIBE,FAVORABLE,HELADOS DE LECHE CON GRASA VEGETAL  VARIEDADES
6047,1 ACTIVO,ANTIOQUIA,MEDELLIN,COLOR CACAO SAS,9004177827,ANA MARGARITA VILLEGAS ECHEVERRI,CR 65 B No 30 - 90,FAVORABLE,BOMBONES Y TABLETAS  DE CHOCOLATE VARIEDADES
6053,1 ACTIVO,ANTIOQUIA,MEDELLIN,"COMERCIALZADORA DE PAN, REPOSTERIA Y CONFITERIA SANTA CLARA SA",8110251997,FELIPE JARAMILLO BUSTAMENTE,CR 48 No 56 - 72,FAVORABLE CON OBSERVACIONES,POSTRES A BASE DE CREMA DE LECHE VARIEDADES;DULCES BLANDOS O DUROS CON O SIN COBERTURA DE CHOCOLATE VARIEDADES;TORTAS CON O SIN RELLENOS VARIEDADES;PRODUCTOS CON HOJALDRE VARIEDADES;
6061,1 ACTIVO,ANTIOQUIA,MEDELLIN,COMPAÑÍA DE ALIMENTOS COLOMBIANOS CALCO SA,8001803309,MARGARITA MARIA ARANGO CADAVID,CR 43 A No 25 A - 93,FAVORABLE,HELADO DE LECHE;GALLETAS DULCES VARIEDADES ( CUCURUCHO; WAFFLE):ALIMENTOS COMPUESTOS CON CARNE;POLLO;MARISCOS;VERDURAS;ADEREZOS Y FRUTAS
6062,1 ACTIVO,ANTIOQUIA,MEDELLIN,COMPAÑÍA DE GALLETAS NOEL SAS,8110149949,ALBERTO HOYOS LOPERA,CR 52 No 2-38,FAVORABLE,"GALLETAS CRUJIENTES ""CRACKERS"", GALLETAS SALADAS"
6064,1 ACTIVO,ANTIOQUIA,MEDELLIN,CONCENTRADOS LA DELICIA SAS,9000692277,ANA ROSA DUQUE DE COSSIO,CR 48 A No 85 C - 43,FAVORABLE CON OBSERVACIONES,SABORIZANTES LIQUIDOS ARTIFICIALES VARIEDAD DE SABORES;REEMPAQUE DE ADITIVOS ALIMENTARIOS
6066,1 ACTIVO,ANTIOQUIA,MEDELLIN,FABRIALIMENTOS SAS,8000425913,ANDRES MEJIA DUQUE,CL 6 No 50 - 31,FAVORABLE,PRODUCTOS RELLENOS A BASE DE PAPA O YUCA CONGELADOS LISTOS PARA FREIR VARIEDADES;AREPAS DE MAIZ RELLENAS VARIEDADES;EMPANADAS DE MAIZ VARIEDADES
6067,1 ACTIVO,ANTIOQUIA,MEDELLIN,COOPERATIVA COLANTA,8909044786,SERGIO LEON GONZALEZ VILLA,CL 74 No 64A - 51,FAVORABLE,LECHE PASTEURIZADA Y UHT;MANTEQUILLA;BEBIDAS SABORIZADAS A BASE DE AGUA CON GAS O SIN GAS
6068,1 ACTIVO,ANTIOQUIA,MEDELLIN,COOPERATIVA COLANTA-PLANTA DE PANIFICACION,8909044786,SERGIO LUIS GONZALEZ VILLA,CL 74 No 64 A - 60,FAVORABLE,PRODUCTOS HOJALDRE VARIEDADES; PANDEQUESOS
6069,1 ACTIVO,ANTIOQUIA,MEDELLIN,COOPERATIVA MULTIACTIVA DE SAN ANTONIO DE PRADO-COOMULSAP,8000551694,MARIA TERESA GOMEZ SALAZAR,CL 42 Sur No 69 A 58 - SAN ANTONIO DE PRADO,FAVORABLE CON OBSERVACIONES,LECHE ENTE PASTEURIZADA;QUESITO;QUESO INDUCTRIAL;MANTEQUILLA
6072,1 ACTIVO,ANTIOQUIA,MEDELLIN,CORPORACION LA SILLETERA DEL CORREGIMIENTO DE SANTA ELENA,9003621418,GLORIA CECILIA HERNANDEZ SOTO,VEREDA PIEDRA GORDA - CORREGIMIENTO SANTA ELENA,FAVORABLE,AREPAS DE MAIZ VARIEDADES
6075,1 ACTIVO,ANTIOQUIA,MEDELLIN,CORPORACION SOCIAL Y DEPORTIVA DE COLOMBIA COSDECOL,8001488448,MARCOS EUGENIO WITTIG WOOD,"CR 65 No 74 75, LC 113, MULTICENTRO CARIBE",FAVORABLE,BROWNIES;TORTAS
6076,1 ACTIVO,ANTIOQUIA,MEDELLIN,CORPORACION UNIVERSITARIA ADVENTISTA INDUSTRIAS ALIMENTICIAS VITARRICO,8604037513,JUAN CHOQUE FERNANDEZ,CR 84 No 33 AA - 1,FAVORABLE,CEREALES PARA EL DESAYUNO SOLOS O CON OTROS INGREDIENTES ALIMENTICIOS
6078,1 ACTIVO,ANTIOQUIA,MEDELLIN,CORREA COUSINS SAS,9007597516,JUAN FELIPE GALLEGO CORREA,CL 27 No 80 - 104,FAVORABLE,BEBIDA SABORIZADA A BASE DE AGUA DE FRUTAS O FRUTOS SECOS;BEBIDA FERMENTADA CON FRUTA (KOMBUCHA)
6082,1 ACTIVO,ANTIOQUIA,MEDELLIN,CRISTANCHO DIAZ WILMER PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PRODUCTOS ALIMENTICIOS LA CONE,932926721,WILMER CRISTANCHO DIAZ,CR 53 No 90 - 42,FAVORABLE CON OBSERVACIONES,AREPAS DE MAIZ Y AREPAS DE CHOCOLO
6089,1 ACTIVO,ANTIOQUIA,MEDELLIN,DISMAPAN SAS,9003333055,MARIA CECILIA LOPEZ ATEHORTUA,CR 52 No 36-41 BR EL PERPETUO SOCORRO,FAVORABLE,"FRUTAS EN ALMIBAR,CERNIDO DE GUAYABA;MEZCLA EN POLVO PARA EMPANADAS, BUÑUEÑOS, ALMOJABANAS;VINAGRE BLANCO"
6090,1 ACTIVO,ANTIOQUIA,MEDELLIN,DISPRONAT SAS,8002002433,CATALINA MONTOYA GONZALEZ,CL 72 C No 64 C -151 BD 101-106 CIUDADELA INDUSTRIAL CARIBE,FAVORABLE,CEREALES PARA EL DESAYUNO; BEBIDAS INSTANTANEAS EN POLVO A BASE DE AVENA Y LECHE DE SOYA;REEMPAQUE MIEL DE ABEJAS;FRUTOS SECOS;FRUTAS DESHIDRATADAS
6095,1 ACTIVO,ANTIOQUIA,MEDELLIN,DISTRIBUIDORA DOÑA ELENA SA,8909294555,MONICA MARIA MEJIA ESCOBAR,CR 43 A No 8 - 44,FAVORABLE,CHOCOLATERIA VARIEDADES; CARAMELOS VARIEDADES; PANADERIA VARIEDADES; PASTELERIA VARIEDADES
6097,1 ACTIVO,ANTIOQUIA,MEDELLIN,DISTRIBUIDORA SUPERBUÑUELO SAS,9001628614,SOFIA MOLINA DE ECHEVERRI,CL 21 No 65 - 30,FAVORABLE CON OBSERVACIONES,MEZCLA EN POLVO A BASE DE HARINA DE MAIZ PARA PREPARAR BUÑUELOS;NATILLA;EMPANADA;PANDEBONO;PANDEQUESO
6098,1 ACTIVO,ANTIOQUIA,MEDELLIN,DISTRIVENDINGS SAS,9001331978,ELIANA CRISTINA BEDOYA,CL 47 D No 48 - 09,FAVORABLE CON OBSERVACIONES,PAN HOJALDRADO VARIEDADES;PASTEL HOJALDRADO VARIEDADES
6099,1 ACTIVO,ANTIOQUIA,MEDELLIN,DONUTS DE ANTIOQUIA SAS,8000396634,OSCAR MERINO GORDILLO,CL 24 No 43 G - 12,FAVORABLE CON OBSERVACIONES,DONUTS VARIEDADES
6100,1 ACTIVO,ANTIOQUIA,MEDELLIN,DOÑA LECHONA SA,8909396482,MARTA LUZ MEJIA ARROYAVE,AV 39 D No 73 - 106,FAVORABLE CON OBSERVACIONES,LECHONA
